@relation 'airquality-weka.filters.unsupervised.attribute.Remove-R1-3,12-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Standardize'

@attribute aqi numeric
@attribute quality numeric
@attribute so2_24h numeric
@attribute no2_24h numeric
@attribute co_24h numeric
@attribute o3_8h_24h numeric
@attribute pm10_24h numeric
@attribute pm2_5_24h numeric

@data
-0.049176,1,0.297409,0.396872,-0.324145,-0.798886,-0.188752,-0.519043
1.028758,2,0.826775,0.811053,0.031309,-0.351858,0.509899,-0.082427
2.573797,4,3.297151,1.501355,1.021502,-0.649876,1.528766,1.569122
3.723593,4,4.091201,2.881959,1.596999,-0.335301,2.460301,3.16372
3.310385,4,3.032468,2.881959,1.234493,-0.550537,2.12553,2.878971
4.639837,5,3.297151,3.526241,1.660473,-1.378366,3.202618,4.169836
3.831386,5,2.326646,3.342161,2.158391,-0.997565,2.547632,3.67627
2.03483,4,1.620825,1.409315,1.237314,-0.616763,1.092109,1.455222
0.112514,1,0.032726,0.074731,-0.334019,-0.848555,-0.086865,-0.21531
0.29217,2,0.120954,1.041154,-0.408777,-0.881669,0.029576,-0.38616
2.466003,4,2.59133,2.053597,1.371314,-0.318744,1.441434,1.626072
0.992827,2,0.915003,1.133194,0.156846,-0.384971,0.044132,1.056572
1.998898,3,1.267914,1.041154,0.231604,-0.649876,1.062998,0.923689
0.202342,1,-0.143729,-0.017309,-0.538546,-0.682989,-0.028644,-0.55701
1.58569,3,0.120954,0.120751,-0.386209,-0.384971,0.830114,-0.405144
0.399963,2,-0.055502,-0.29343,-0.618947,-0.732659,0.102353,-0.55701
1.819243,3,0.473864,0.903094,-0.259261,-0.302188,0.961111,-0.006494
2.430072,4,1.179686,1.179214,-0.051913,-0.153178,1.412324,0.847756
3.543937,4,2.679557,2.191657,0.918533,-0.335301,2.314748,2.271504
3.525972,4,1.003231,0.626973,0.101835,-0.831999,2.300193,1.284372
6.041151,5,1.709052,0.580953,0.620911,-0.732659,4.512589,0.619956
1.028758,2,0.915003,1.087174,0.173773,-0.616763,0.509899,0.145373
1.657553,3,1.620825,1.777476,0.928407,-0.037282,0.87378,0.942672
2.466003,4,1.532597,1.869516,0.649122,-0.053839,1.441434,1.967771
3.472075,4,2.326646,2.007577,1.474283,-0.815442,2.256527,3.27762
1.531794,3,0.826775,1.041154,0.134278,-0.981008,0.801004,0.581989
1.10062,2,0.385637,1.455335,-0.105513,-0.815442,0.553565,-0.025477
0.885033,2,1.091458,1.593396,0.801459,-0.798886,0.408013,0.733856
